#    L    TT             EE             BB             TE          
   210   0.743666E+01   0.175548E-01   0.120770E-01   0.892785E-01
   211   0.747038E+01   0.173012E-01   0.120710E-01   0.838489E-01
   212   0.749936E+01   0.170677E-01   0.120706E-01   0.782887E-01
   213   0.752368E+01   0.168536E-01   0.120756E-01   0.726089E-01
   214   0.754343E+01   0.166585E-01   0.120857E-01   0.668205E-01
   215   0.755868E+01   0.164819E-01   0.121007E-01   0.609342E-01
   216   0.756954E+01   0.163234E-01   0.121202E-01   0.549612E-01
   217   0.757607E+01   0.161825E-01   0.121441E-01   0.489122E-01
   218   0.757836E+01   0.160586E-01   0.121721E-01   0.427982E-01
   219   0.757649E+01   0.159513E-01   0.122039E-01   0.366301E-01
   220   0.757056E+01   0.158601E-01   0.122393E-01   0.304188E-01
   221   0.756064E+01   0.157845E-01   0.122779E-01   0.241754E-01
   222   0.754681E+01   0.157241E-01   0.123196E-01   0.179106E-01
   223   0.752917E+01   0.156784E-01   0.123640E-01   0.116354E-01
   224   0.750778E+01   0.156468E-01   0.124110E-01   0.536071E-02
   225   0.748275E+01   0.156290E-01   0.124603E-01  -0.902518E-03
   226   0.745414E+01   0.156243E-01   0.125115E-01  -0.714337E-02
   227   0.742205E+01   0.156324E-01   0.125645E-01  -0.133509E-01
   228   0.738656E+01   0.156528E-01   0.126189E-01  -0.195143E-01
   229   0.734775E+01   0.156849E-01   0.126746E-01  -0.256225E-01
   230   0.730570E+01   0.157284E-01   0.127312E-01  -0.316647E-01
   231   0.726051E+01   0.157826E-01   0.127886E-01  -0.376299E-01
   232   0.721224E+01   0.158472E-01   0.128463E-01  -0.435072E-01
   233   0.716099E+01   0.159216E-01   0.129043E-01  -0.492857E-01
   234   0.710685E+01   0.160053E-01   0.129622E-01  -0.549545E-01
   235   0.704988E+01   0.160980E-01   0.130197E-01  -0.605026E-01
   236   0.699018E+01   0.161991E-01   0.130766E-01  -0.659191E-01
   237   0.692784E+01   0.163080E-01   0.131327E-01  -0.711931E-01
   238   0.686292E+01   0.164244E-01   0.131877E-01  -0.763137E-01
   239   0.679553E+01   0.165478E-01   0.132413E-01  -0.812700E-01
   240   0.672574E+01   0.166776E-01   0.132932E-01  -0.860510E-01
   241   0.665363E+01   0.168135E-01   0.133433E-01  -0.906458E-01
   242   0.657929E+01   0.169548E-01   0.133912E-01  -0.950435E-01
   243   0.650280E+01   0.171011E-01   0.134366E-01  -0.992332E-01
   244   0.642425E+01   0.172520E-01   0.134794E-01  -0.103204E+00
   245   0.634372E+01   0.174070E-01   0.135193E-01  -0.106945E+00
   246   0.626130E+01   0.175656E-01   0.135560E-01  -0.110445E+00
