#    L    TT             EE             BB             TE             PP             TP             EP          
   111   0.311951E+04   0.102389E+01   0.587972E-01  -0.324529E+02   0.949264E-07   0.323622E-03  -0.101115E-05
   112   0.315017E+04   0.103589E+01   0.582220E-01  -0.330470E+02   0.943413E-07   0.320071E-03  -0.101757E-05
   113   0.318105E+04   0.104753E+01   0.576303E-01  -0.336351E+02   0.937603E-07   0.316584E-03  -0.102476E-05
   114   0.321212E+04   0.105882E+01   0.570228E-01  -0.342165E+02   0.931834E-07   0.313158E-03  -0.103261E-05
   115   0.324337E+04   0.106974E+01   0.564003E-01  -0.347908E+02   0.926105E-07   0.309792E-03  -0.104102E-05
   116   0.327482E+04   0.108028E+01   0.557637E-01  -0.353574E+02   0.920418E-07   0.306486E-03  -0.104987E-05
   117   0.330645E+04   0.109042E+01   0.551136E-01  -0.359159E+02   0.914771E-07   0.303238E-03  -0.105907E-05
   118   0.333824E+04   0.110017E+01   0.544510E-01  -0.364657E+02   0.909165E-07   0.300046E-03  -0.106850E-05
   119   0.337020E+04   0.110950E+01   0.537766E-01  -0.370064E+02   0.903600E-07   0.296909E-03  -0.107807E-05
   120   0.340231E+04   0.111841E+01   0.530912E-01  -0.375374E+02   0.898076E-07   0.293826E-03  -0.108767E-05
   121   0.343457E+04   0.112690E+01   0.523956E-01  -0.380582E+02   0.892592E-07   0.290795E-03  -0.109719E-05
   122   0.346696E+04   0.113494E+01   0.516906E-01  -0.385684E+02   0.887149E-07   0.287816E-03  -0.110653E-05
   123   0.349949E+04   0.114253E+01   0.509770E-01  -0.390676E+02   0.881747E-07   0.284887E-03  -0.111558E-05
   124   0.353214E+04   0.114967E+01   0.502556E-01  -0.395550E+02   0.876386E-07   0.282006E-03  -0.112424E-05
   125   0.356489E+04   0.115634E+01   0.495271E-01  -0.400303E+02   0.871066E-07   0.279172E-03  -0.113241E-05
   126   0.359776E+04   0.116254E+01   0.487924E-01  -0.404931E+02   0.865787E-07   0.276384E-03  -0.113997E-05
   127   0.363071E+04   0.116827E+01   0.480523E-01  -0.409429E+02   0.860548E-07   0.273641E-03  -0.114683E-05
   128   0.366375E+04   0.117351E+01   0.473076E-01  -0.413791E+02   0.855351E-07   0.270941E-03  -0.115288E-05
   129   0.369688E+04   0.117826E+01   0.465590E-01  -0.418014E+02   0.850194E-07   0.268284E-03  -0.115801E-05
   130   0.373007E+04   0.118252E+01   0.458073E-01  -0.422092E+02   0.845078E-07   0.265667E-03  -0.116213E-05
   131   0.376331E+04   0.118627E+01   0.450534E-01  -0.426020E+02   0.840003E-07   0.263089E-03  -0.116515E-05
   132   0.379662E+04   0.118952E+01   0.442978E-01  -0.429795E+02   0.834969E-07   0.260550E-03  -0.116708E-05
   133   0.382996E+04   0.119226E+01   0.435411E-01  -0.433412E+02   0.829975E-07   0.258048E-03  -0.116799E-05
   134   0.386333E+04   0.119451E+01   0.427841E-01  -0.436865E+02   0.825022E-07   0.255584E-03  -0.116791E-05
   135   0.389673E+04   0.119623E+01   0.420272E-01  -0.440151E+02   0.820108E-07   0.253156E-03  -0.116688E-05
   136   0.393015E+04   0.119745E+01   0.412712E-01  -0.443265E+02   0.815234E-07   0.250764E-03  -0.116497E-05
   137   0.396357E+04   0.119814E+01   0.405165E-01  -0.446201E+02   0.810400E-07   0.248406E-03  -0.116220E-05
   138   0.399699E+04   0.119833E+01   0.397639E-01  -0.448957E+02   0.805604E-07   0.246083E-03  -0.115863E-05
   139   0.403039E+04   0.119801E+01   0.390139E-01  -0.451527E+02   0.800847E-07   0.243793E-03  -0.115430E-05
   140   0.406378E+04   0.119717E+01   0.382672E-01  -0.453909E+02   0.796129E-07   0.241535E-03  -0.114925E-05
   141   0.409714E+04   0.119584E+01   0.375243E-01  -0.456098E+02   0.791449E-07   0.239309E-03  -0.114354E-05
   142   0.413045E+04   0.119399E+01   0.367859E-01  -0.458089E+02   0.786807E-07   0.237113E-03  -0.113721E-05
   143   0.416372E+04   0.119164E+01   0.360525E-01  -0.459881E+02   0.782202E-07   0.234948E-03  -0.113030E-05
   144   0.419693E+04   0.118879E+01   0.353249E-01  -0.461468E+02   0.777635E-07   0.232813E-03  -0.112286E-05
   145   0.423007E+04   0.118544E+01   0.346035E-01  -0.462845E+02   0.773106E-07   0.230706E-03  -0.111493E-05
   146   0.426312E+04   0.118161E+01   0.338891E-01  -0.464011E+02   0.768613E-07   0.228627E-03  -0.110656E-05
   147   0.429606E+04   0.117730E+01   0.331822E-01  -0.464960E+02   0.764157E-07   0.226575E-03  -0.109780E-05
   148   0.432888E+04   0.117251E+01   0.324834E-01  -0.465689E+02   0.759738E-07   0.224550E-03  -0.108869E-05
   149   0.436157E+04   0.116726E+01   0.317934E-01  -0.466195E+02   0.755355E-07   0.222550E-03  -0.107928E-05
   150   0.439411E+04   0.116154E+01   0.311127E-01  -0.466472E+02   0.751007E-07   0.220576E-03  -0.106960E-05
   151   0.442648E+04   0.115538E+01   0.304419E-01  -0.466518E+02   0.746696E-07   0.218625E-03  -0.105971E-05
   152   0.445868E+04   0.114877E+01   0.297813E-01  -0.466330E+02   0.742420E-07   0.216698E-03  -0.104961E-05
   153   0.449069E+04   0.114174E+01   0.291310E-01  -0.465905E+02   0.738179E-07   0.214795E-03  -0.103931E-05
   154   0.452253E+04   0.113429E+01   0.284912E-01  -0.465241E+02   0.733973E-07   0.212915E-03  -0.102881E-05
   155   0.455417E+04   0.112643E+01   0.278621E-01  -0.464336E+02   0.729801E-07   0.211057E-03  -0.101811E-05
   156   0.458562E+04   0.111819E+01   0.272440E-01  -0.463186E+02   0.725664E-07   0.209222E-03  -0.100723E-05
   157   0.461686E+04   0.110956E+01   0.266369E-01  -0.461789E+02   0.721562E-07   0.207409E-03  -0.996155E-06
   158   0.464789E+04   0.110057E+01   0.260410E-01  -0.460144E+02   0.717493E-07   0.205617E-03  -0.984905E-06
