#    L    TT             EE             BB             TE          
   310   0.373709E+04   0.109005E+02   0.322799E-01   0.120099E+03
   311   0.370313E+04   0.110856E+02   0.324237E-01   0.120054E+03
   312   0.366920E+04   0.112711E+02   0.325668E-01   0.119971E+03
   313   0.363533E+04   0.114570E+02   0.327092E-01   0.119850E+03
   314   0.360152E+04   0.116431E+02   0.328509E-01   0.119690E+03
   315   0.356777E+04   0.118295E+02   0.329920E-01   0.119493E+03
   316   0.353411E+04   0.120161E+02   0.331323E-01   0.119257E+03
   317   0.350054E+04   0.122028E+02   0.332720E-01   0.118984E+03
   318   0.346708E+04   0.123895E+02   0.334110E-01   0.118672E+03
   319   0.343373E+04   0.125761E+02   0.335493E-01   0.118322E+03
   320   0.340049E+04   0.127628E+02   0.336870E-01   0.117935E+03
   321   0.336739E+04   0.129492E+02   0.338240E-01   0.117510E+03
   322   0.333443E+04   0.131354E+02   0.339604E-01   0.117047E+03
   323   0.330162E+04   0.133213E+02   0.340961E-01   0.116547E+03
   324   0.326897E+04   0.135068E+02   0.342313E-01   0.116009E+03
   325   0.323648E+04   0.136918E+02   0.343658E-01   0.115435E+03
   326   0.320417E+04   0.138764E+02   0.344997E-01   0.114824E+03
   327   0.317205E+04   0.140604E+02   0.346330E-01   0.114175E+03
   328   0.314013E+04   0.142437E+02   0.347657E-01   0.113490E+03
   329   0.310841E+04   0.144263E+02   0.348978E-01   0.112769E+03
   330   0.307690E+04   0.146080E+02   0.350294E-01   0.112012E+03
   331   0.304561E+04   0.147890E+02   0.351604E-01   0.111219E+03
   332   0.301456E+04   0.149690E+02   0.352909E-01   0.110390E+03
   333   0.298373E+04   0.151479E+02   0.354209E-01   0.109526E+03
   334   0.295315E+04   0.153258E+02   0.355503E-01   0.108628E+03
   335   0.292284E+04   0.155025E+02   0.356793E-01   0.107695E+03
   336   0.289278E+04   0.156779E+02   0.358078E-01   0.106728E+03
   337   0.286299E+04   0.158521E+02   0.359358E-01   0.105728E+03
   338   0.283348E+04   0.160250E+02   0.360634E-01   0.104694E+03
   339   0.280426E+04   0.161964E+02   0.361905E-01   0.103628E+03
