#    L    TT             EE             BB             TE          
   171   0.502475E+04   0.969052E+00   0.293358E-01  -0.413246E+02
   172   0.505140E+04   0.957170E+00   0.290459E-01  -0.407910E+02
   173   0.507766E+04   0.945234E+00   0.287710E-01  -0.402306E+02
   174   0.510353E+04   0.933267E+00   0.285114E-01  -0.396433E+02
   175   0.512899E+04   0.921307E+00   0.282671E-01  -0.390293E+02
   176   0.515404E+04   0.909370E+00   0.280383E-01  -0.383885E+02
   177   0.517867E+04   0.897494E+00   0.278248E-01  -0.377210E+02
   178   0.520286E+04   0.885701E+00   0.276264E-01  -0.370267E+02
   179   0.522660E+04   0.874013E+00   0.274428E-01  -0.363056E+02
   180   0.524991E+04   0.862470E+00   0.272738E-01  -0.355580E+02
   181   0.527275E+04   0.851100E+00   0.271191E-01  -0.347839E+02
   182   0.529513E+04   0.839933E+00   0.269785E-01  -0.339834E+02
   183   0.531704E+04   0.828994E+00   0.268518E-01  -0.331565E+02
   184   0.533847E+04   0.818318E+00   0.267386E-01  -0.323037E+02
   185   0.535941E+04   0.807943E+00   0.266388E-01  -0.314246E+02
   186   0.537986E+04   0.797893E+00   0.265520E-01  -0.305197E+02
   187   0.539980E+04   0.788198E+00   0.264780E-01  -0.295891E+02
   188   0.541924E+04   0.778899E+00   0.264167E-01  -0.286331E+02
   189   0.543816E+04   0.770026E+00   0.263677E-01  -0.276517E+02
   190   0.545655E+04   0.761615E+00   0.263307E-01  -0.266452E+02
   191   0.547442E+04   0.753698E+00   0.263056E-01  -0.256140E+02
   192   0.549174E+04   0.746310E+00   0.262921E-01  -0.245581E+02
   193   0.550851E+04   0.739485E+00   0.262899E-01  -0.234778E+02
   194   0.552474E+04   0.733258E+00   0.262987E-01  -0.223734E+02
   195   0.554041E+04   0.727667E+00   0.263184E-01  -0.212453E+02
   196   0.555552E+04   0.722746E+00   0.263486E-01  -0.200938E+02
   197   0.557006E+04   0.718533E+00   0.263892E-01  -0.189192E+02
   198   0.558405E+04   0.715064E+00   0.264398E-01  -0.177220E+02
   199   0.559746E+04   0.712376E+00   0.265002E-01  -0.165023E+02
   200   0.561030E+04   0.710503E+00   0.265702E-01  -0.152606E+02
   201   0.562255E+04   0.709484E+00   0.266494E-01  -0.139972E+02
   202   0.563422E+04   0.709353E+00   0.267377E-01  -0.127127E+02
   203   0.564527E+04   0.710149E+00   0.268347E-01  -0.114073E+02
   204   0.565573E+04   0.711905E+00   0.269402E-01  -0.100814E+02
   205   0.566554E+04   0.714659E+00   0.270539E-01  -0.873558E+01
   206   0.567473E+04   0.718445E+00   0.271755E-01  -0.737014E+01
   207   0.568328E+04   0.723301E+00   0.273048E-01  -0.598545E+01
   208   0.569119E+04   0.729262E+00   0.274415E-01  -0.458212E+01
   209   0.569847E+04   0.736363E+00   0.275852E-01  -0.316066E+01
   210   0.570512E+04   0.744642E+00   0.277358E-01  -0.172163E+01
   211   0.571115E+04   0.754134E+00   0.278930E-01  -0.265555E+00
   212   0.571656E+04   0.764873E+00   0.280564E-01   0.120700E+01
   213   0.572136E+04   0.776898E+00   0.282258E-01   0.269550E+01
   214   0.572556E+04   0.790243E+00   0.284010E-01   0.419939E+01
   215   0.572916E+04   0.804938E+00   0.285816E-01   0.571810E+01
   216   0.573214E+04   0.821028E+00   0.287674E-01   0.725104E+01
   217   0.573450E+04   0.838541E+00   0.289581E-01   0.879760E+01
   218   0.573624E+04   0.857507E+00   0.291535E-01   0.103573E+02
   219   0.573736E+04   0.877968E+00   0.293531E-01   0.119294E+02
   220   0.573784E+04   0.899954E+00   0.295569E-01   0.135135E+02
   221   0.573770E+04   0.923493E+00   0.297644E-01   0.151088E+02
   222   0.573692E+04   0.948630E+00   0.299755E-01   0.167149E+02
   223   0.573551E+04   0.975385E+00   0.301898E-01   0.183310E+02
   224   0.573348E+04   0.100379E+01   0.304070E-01   0.199565E+02
   225   0.573081E+04   0.103388E+01   0.306269E-01   0.215907E+02
   226   0.572752E+04   0.106569E+01   0.308493E-01   0.232330E+02
   227   0.572361E+04   0.109924E+01   0.310737E-01   0.248828E+02
   228   0.571907E+04   0.113457E+01   0.313000E-01   0.265393E+02
   229   0.571391E+04   0.117170E+01   0.315279E-01   0.282019E+02
   230   0.570813E+04   0.121066E+01   0.317570E-01   0.298700E+02
   231   0.570173E+04   0.125148E+01   0.319872E-01   0.315428E+02
   232   0.569472E+04   0.129418E+01   0.322181E-01   0.332196E+02
   233   0.568710E+04   0.133879E+01   0.324494E-01   0.348998E+02
   234   0.567886E+04   0.138534E+01   0.326810E-01   0.365826E+02
   235   0.567002E+04   0.143385E+01   0.329124E-01   0.382673E+02
   236   0.566057E+04   0.148435E+01   0.331434E-01   0.399534E+02
   237   0.565052E+04   0.153685E+01   0.333737E-01   0.416398E+02
   238   0.563987E+04   0.159138E+01   0.336031E-01   0.433262E+02
   239   0.562863E+04   0.164795E+01   0.338313E-01   0.450116E+02
   240   0.561679E+04   0.170660E+01   0.340580E-01   0.466952E+02
   241   0.560436E+04   0.176734E+01   0.342829E-01   0.483766E+02
   242   0.559135E+04   0.183019E+01   0.345057E-01   0.500548E+02
   243   0.557777E+04   0.189516E+01   0.347262E-01   0.517291E+02
   244   0.556360E+04   0.196227E+01   0.349440E-01   0.533990E+02
