#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   109   0.298793E+04  -0.291262E+02   0.330919E-03  -0.291262E+02   0.900134E+00  -0.100099E-05   0.330919E-03  -0.100099E-05   0.961089E-07
   110   0.302088E+04  -0.297739E+02   0.327238E-03  -0.297739E+02   0.912955E+00  -0.100559E-05   0.327238E-03  -0.100559E-05   0.955156E-07
   111   0.305398E+04  -0.304171E+02   0.323623E-03  -0.304171E+02   0.925492E+00  -0.101114E-05   0.323623E-03  -0.101114E-05   0.949265E-07
   112   0.308722E+04  -0.310550E+02   0.320072E-03  -0.310550E+02   0.937739E+00  -0.101755E-05   0.320072E-03  -0.101755E-05   0.943414E-07
   113   0.312060E+04  -0.316873E+02   0.316584E-03  -0.316873E+02   0.949674E+00  -0.102473E-05   0.316584E-03  -0.102473E-05   0.937604E-07
   114   0.315411E+04  -0.323133E+02   0.313158E-03  -0.323133E+02   0.961280E+00  -0.103257E-05   0.313158E-03  -0.103257E-05   0.931834E-07
   115   0.318775E+04  -0.329325E+02   0.309792E-03  -0.329325E+02   0.972560E+00  -0.104097E-05   0.309792E-03  -0.104097E-05   0.926106E-07
   116   0.322150E+04  -0.335443E+02   0.306486E-03  -0.335443E+02   0.983497E+00  -0.104982E-05   0.306486E-03  -0.104982E-05   0.920418E-07
   117   0.325538E+04  -0.341482E+02   0.303237E-03  -0.341482E+02   0.994069E+00  -0.105901E-05   0.303237E-03  -0.105901E-05   0.914771E-07
   118   0.328935E+04  -0.347436E+02   0.300045E-03  -0.347436E+02   0.100428E+01  -0.106844E-05   0.300045E-03  -0.106844E-05   0.909165E-07
   119   0.332343E+04  -0.353300E+02   0.296908E-03  -0.353300E+02   0.101410E+01  -0.107801E-05   0.296908E-03  -0.107801E-05   0.903600E-07
   120   0.335759E+04  -0.359068E+02   0.293825E-03  -0.359068E+02   0.102355E+01  -0.108760E-05   0.293825E-03  -0.108760E-05   0.898075E-07
   121   0.339185E+04  -0.364735E+02   0.290795E-03  -0.364735E+02   0.103259E+01  -0.109712E-05   0.290795E-03  -0.109712E-05   0.892591E-07
   122   0.342617E+04  -0.370296E+02   0.287816E-03  -0.370296E+02   0.104122E+01  -0.110647E-05   0.287816E-03  -0.110647E-05   0.887149E-07
   123   0.346056E+04  -0.375745E+02   0.284886E-03  -0.375745E+02   0.104943E+01  -0.111552E-05   0.284886E-03  -0.111552E-05   0.881747E-07
   124   0.349502E+04  -0.381076E+02   0.282005E-03  -0.381076E+02   0.105721E+01  -0.112419E-05   0.282005E-03  -0.112419E-05   0.876386E-07
   125   0.352952E+04  -0.386285E+02   0.279172E-03  -0.386285E+02   0.106457E+01  -0.113236E-05   0.279172E-03  -0.113236E-05   0.871066E-07
   126   0.356408E+04  -0.391366E+02   0.276384E-03  -0.391366E+02   0.107147E+01  -0.113994E-05   0.276384E-03  -0.113994E-05   0.865786E-07
   127   0.359866E+04  -0.396314E+02   0.273641E-03  -0.396314E+02   0.107793E+01  -0.114680E-05   0.273641E-03  -0.114680E-05   0.860548E-07
   128   0.363327E+04  -0.401124E+02   0.270941E-03  -0.401124E+02   0.108393E+01  -0.115286E-05   0.270941E-03  -0.115286E-05   0.855350E-07
   129   0.366791E+04  -0.405792E+02   0.268284E-03  -0.405792E+02   0.108946E+01  -0.115801E-05   0.268284E-03  -0.115801E-05   0.850194E-07
   130   0.370256E+04  -0.410310E+02   0.265667E-03  -0.410310E+02   0.109453E+01  -0.116213E-05   0.265667E-03  -0.116213E-05   0.845078E-07
   131   0.373720E+04  -0.414675E+02   0.263089E-03  -0.414675E+02   0.109911E+01  -0.116515E-05   0.263089E-03  -0.116515E-05   0.840003E-07
   132   0.377184E+04  -0.418881E+02   0.260550E-03  -0.418881E+02   0.110322E+01  -0.116710E-05   0.260550E-03  -0.116710E-05   0.834969E-07
   133   0.380647E+04  -0.422924E+02   0.258048E-03  -0.422924E+02   0.110684E+01  -0.116801E-05   0.258048E-03  -0.116801E-05   0.829975E-07
   134   0.384108E+04  -0.426799E+02   0.255584E-03  -0.426799E+02   0.110998E+01  -0.116793E-05   0.255584E-03  -0.116793E-05   0.825022E-07
   135   0.387566E+04  -0.430502E+02   0.253156E-03  -0.430502E+02   0.111263E+01  -0.116692E-05   0.253156E-03  -0.116692E-05   0.820108E-07
   136   0.391020E+04  -0.434026E+02   0.250764E-03  -0.434026E+02   0.111478E+01  -0.116500E-05   0.250764E-03  -0.116500E-05   0.815234E-07
   137   0.394471E+04  -0.437367E+02   0.248406E-03  -0.437367E+02   0.111644E+01  -0.116224E-05   0.248406E-03  -0.116224E-05   0.810399E-07
   138   0.397915E+04  -0.440522E+02   0.246083E-03  -0.440522E+02   0.111761E+01  -0.115866E-05   0.246083E-03  -0.115866E-05   0.805603E-07
   139   0.401354E+04  -0.443485E+02   0.243792E-03  -0.443485E+02   0.111828E+01  -0.115433E-05   0.243792E-03  -0.115433E-05   0.800846E-07
   140   0.404786E+04  -0.446254E+02   0.241534E-03  -0.446254E+02   0.111845E+01  -0.114929E-05   0.241534E-03  -0.114929E-05   0.796128E-07
   141   0.408211E+04  -0.448823E+02   0.239308E-03  -0.448823E+02   0.111814E+01  -0.114358E-05   0.239308E-03  -0.114358E-05   0.791448E-07
   142   0.411627E+04  -0.451188E+02   0.237113E-03  -0.451188E+02   0.111733E+01  -0.113724E-05   0.237113E-03  -0.113724E-05   0.786806E-07
   143   0.415034E+04  -0.453345E+02   0.234948E-03  -0.453345E+02   0.111603E+01  -0.113033E-05   0.234948E-03  -0.113033E-05   0.782202E-07
   144   0.418430E+04  -0.455291E+02   0.232813E-03  -0.455291E+02   0.111424E+01  -0.112288E-05   0.232813E-03  -0.112288E-05   0.777635E-07
   145   0.421816E+04  -0.457020E+02   0.230706E-03  -0.457020E+02   0.111197E+01  -0.111495E-05   0.230706E-03  -0.111495E-05   0.773106E-07
   146   0.425188E+04  -0.458530E+02   0.228627E-03  -0.458530E+02   0.110922E+01  -0.110658E-05   0.228627E-03  -0.110658E-05   0.768613E-07
   147   0.428546E+04  -0.459815E+02   0.226575E-03  -0.459815E+02   0.110600E+01  -0.109781E-05   0.226575E-03  -0.109781E-05   0.764157E-07
   148   0.431888E+04  -0.460873E+02   0.224550E-03  -0.460873E+02   0.110232E+01  -0.108870E-05   0.224550E-03  -0.108870E-05   0.759738E-07
   149   0.435214E+04  -0.461698E+02   0.222550E-03  -0.461698E+02   0.109817E+01  -0.107928E-05   0.222550E-03  -0.107928E-05   0.755355E-07
   150   0.438520E+04  -0.462286E+02   0.220576E-03  -0.462286E+02   0.109357E+01  -0.106960E-05   0.220576E-03  -0.106960E-05   0.751007E-07
   151   0.441806E+04  -0.462635E+02   0.218625E-03  -0.462635E+02   0.108853E+01  -0.105971E-05   0.218625E-03  -0.105971E-05   0.746696E-07
   152   0.445072E+04  -0.462740E+02   0.216698E-03  -0.462740E+02   0.108305E+01  -0.104961E-05   0.216698E-03  -0.104961E-05   0.742419E-07
   153   0.448316E+04  -0.462601E+02   0.214795E-03  -0.462601E+02   0.107714E+01  -0.103930E-05   0.214795E-03  -0.103930E-05   0.738178E-07
   154   0.451539E+04  -0.462214E+02   0.212915E-03  -0.462214E+02   0.107083E+01  -0.102880E-05   0.212915E-03  -0.102880E-05   0.733972E-07
   155   0.454739E+04  -0.461576E+02   0.211057E-03  -0.461576E+02   0.106410E+01  -0.101810E-05   0.211057E-03  -0.101810E-05   0.729801E-07
   156   0.457917E+04  -0.460685E+02   0.209222E-03  -0.460685E+02   0.105700E+01  -0.100721E-05   0.209222E-03  -0.100721E-05   0.725664E-07
   157   0.461072E+04  -0.459540E+02   0.207408E-03  -0.459540E+02   0.104950E+01  -0.996140E-06   0.207408E-03  -0.996140E-06   0.721561E-07
   158   0.464203E+04  -0.458136E+02   0.205617E-03  -0.458136E+02   0.104165E+01  -0.984889E-06   0.205617E-03  -0.984889E-06   0.717492E-07
   159   0.467309E+04  -0.456473E+02   0.203846E-03  -0.456473E+02   0.103344E+01  -0.973464E-06   0.203846E-03  -0.973464E-06   0.713456E-07
   160   0.470389E+04  -0.454548E+02   0.202096E-03  -0.454548E+02   0.102490E+01  -0.961868E-06   0.202096E-03  -0.961868E-06   0.709454E-07
   161   0.473441E+04  -0.452358E+02   0.200367E-03  -0.452358E+02   0.101604E+01  -0.950106E-06   0.200367E-03  -0.950106E-06   0.705486E-07
   162   0.476465E+04  -0.449903E+02   0.198658E-03  -0.449903E+02   0.100688E+01  -0.938184E-06   0.198658E-03  -0.938184E-06   0.701550E-07
   163   0.479459E+04  -0.447180E+02   0.196969E-03  -0.447180E+02   0.997443E+00  -0.926105E-06   0.196969E-03  -0.926105E-06   0.697646E-07
   164   0.482421E+04  -0.444187E+02   0.195299E-03  -0.444187E+02   0.987731E+00  -0.913874E-06   0.195299E-03  -0.913874E-06   0.693775E-07
   165   0.485350E+04  -0.440922E+02   0.193648E-03  -0.440922E+02   0.977767E+00  -0.901496E-06   0.193648E-03  -0.901496E-06   0.689937E-07
   166   0.488247E+04  -0.437385E+02   0.192016E-03  -0.437385E+02   0.967573E+00  -0.888977E-06   0.192016E-03  -0.888977E-06   0.686130E-07
   167   0.491109E+04  -0.433573E+02   0.190402E-03  -0.433573E+02   0.957172E+00  -0.876319E-06   0.190402E-03  -0.876319E-06   0.682355E-07
   168   0.493936E+04  -0.429487E+02   0.188807E-03  -0.429487E+02   0.946586E+00  -0.863528E-06   0.188807E-03  -0.863528E-06   0.678611E-07
   169   0.496726E+04  -0.425126E+02   0.187228E-03  -0.425126E+02   0.935838E+00  -0.850609E-06   0.187228E-03  -0.850609E-06   0.674898E-07
   170   0.499480E+04  -0.420490E+02   0.185668E-03  -0.420490E+02   0.924941E+00  -0.837567E-06   0.185668E-03  -0.837567E-06   0.671216E-07
   171   0.502196E+04  -0.415577E+02   0.184123E-03  -0.415577E+02   0.913927E+00  -0.824405E-06   0.184123E-03  -0.824405E-06   0.667565E-07
   172   0.504874E+04  -0.410387E+02   0.182596E-03  -0.410387E+02   0.902817E+00  -0.811129E-06   0.182596E-03  -0.811129E-06   0.663944E-07
   173   0.507512E+04  -0.404919E+02   0.181085E-03  -0.404919E+02   0.891634E+00  -0.797743E-06   0.181085E-03  -0.797743E-06   0.660353E-07
   174   0.510110E+04  -0.399174E+02   0.179589E-03  -0.399174E+02   0.880399E+00  -0.784253E-06   0.179589E-03  -0.784253E-06   0.656793E-07
   175   0.512666E+04  -0.393153E+02   0.178109E-03  -0.393153E+02   0.869151E+00  -0.770661E-06   0.178109E-03  -0.770661E-06   0.653261E-07
   176   0.515181E+04  -0.386855E+02   0.176644E-03  -0.386855E+02   0.857904E+00  -0.756974E-06   0.176644E-03  -0.756974E-06   0.649760E-07
   177   0.517652E+04  -0.380280E+02   0.175193E-03  -0.380280E+02   0.846695E+00  -0.743196E-06   0.175193E-03  -0.743196E-06   0.646287E-07
